ENV
"DI,Melanges bitumineux ,210,7040,0.21"
"DI,Terres  non polluees ,0,0,0.007"
"DI,Beton et pierre ,235,616,0.112"
"DI,Tuiles et briques ,0,0,0.158"
"DI,Ceramique ,219,2840,0.22"
"DI,Verre sans menuiserie ,2027,15.2,0.669"
"DI,Melanges de DI listes cidessus sans DND ,0,0,0"
"DI,Autres dechets inertes,0,0,0"
"DND,Plaques et carreaux ,1450,37,0.002"
"DND,Enduit platre + support inerte ,0,0,0"
"DND,Complexes platre + isolant,0,0,0"
"DND,Bois Non traites ,470,0,-0.992"
"DND,Bois Faiblement adjuvantes ,0,0,0"
"DND,Fenetres et autres ouvertures vitrees ,2027,15.2,0.669"
"DND,Metaux,2807,23.3,1.5"
"DND,Plastiques-exPVC,1330,89.2,3.25"
"DND,Isolants-Laines minerales ,0,0,0"
"DND,Isolants-Plastiques alveolaires ,1330,89.2,3.25"
"DND,Isolants-Autres ,0,0,0"
"DND,Complexe d'etancheite sans goudron,0,0,0"
"DND,Revetements de sols ,0,0,0"
"DND,DEEE non dangereux,0,0,0"
"DND,Melanges de DND listes cidessus ,0,0,0"
"DND,Vegetaux ,0,0,0"
"DND,Terre vegetale ,0,0,0"
"DND,Autres DND,0,0,0"
"DD,Amiante lie a des materiaux inertes ,0,0,0"
"DD,Autres types d'amiante lie,0,0,0"
"DD,Amiante friable ,0,0,0"
"DD,Melanges bitumineux contenant du goudron ,0,0,0"
"DD,Complexe d'etancheite contenant du goudron ,0,0,0"
"DD,Peintures contenant des  substances dangereuses ,0,0,0.87"
"DD,Bois traites contenant des substances dangereuses ,0,0,0"
"DD,Equipements de chauffage de climatisation ou frigorifiques contenant des fluides frigorigenes dangereux ,0,0,0"
"DD,Sources lumineuses ,0,0,0"
"DD,Autres DEEE  contenant des substances dangereuses,0,0,0"
"DD,Terres contenant des substances dangereuses ,0,0,0"
"DD,Autres DD,0,0,0"
